"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.20499992370605","3.41499996185303","3.74399995803833","3.8970000743866","3.90799999237061","3.8989999294281","3.85899996757507","3.78399991989136","3.86199998855591","3.76999998092651","3.67600011825562","3.78399991989136","3.6489999294281","3.26399993896484","3.08899998664856","3.00500011444092","2.13899993896484","2.64599990844727","2.33500003814697","1.96099996566772","1.52600002288818","1.13900005817413","1.17499995231628","1.19700002670288","1.14600002765656","1.10899996757507","1.05900001525879","1.05599999427795",
"Angola","AGO","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.75","19.0319995880127","19.548999786377","19.3330001831055","18.923999786377","17.673999786377","19.1660003662109","18.1229991912842","18.6700000762939","20.742000579834","20.9090003967285","21.4979991912842","21.5189990997314","21.246000289917","18.496000289917","16.0259990692139","13.3120002746582","11.0279998779297","9.86400032043457","8.62399959564209","7.00699996948242","6.9850001335144","7.05900001525879","7.02699995040894","6.86199998855591","6.92199993133545","6.78399991989136","6.88199996948242",
"Albania","ALB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1350002288818","17.9640007019043","17.6200008392334","17.2999992370605","17.3659992218018","18.125","18.2609996795654","18.2040004730225","18.2560005187988","17.4409999847412","17.0979995727539","17.2040004730225","17.2019996643066","16.9629993438721","16.548999786377","16.0739994049072","15.6490001678467","12.548999786377","12.2069997787476","12.7629995346069","13.2729997634888","14.7869997024536","17.6520004272461","19.1089992523193","17.0669994354248","15.6929998397827","14.6009998321533","14.4519996643066",
"Andorra","AND","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6041235695173","11.3127192233317","12.053578574768","12.0396770059766","12.3261416187399","11.7196372186808","11.0141812535886","11.093699361944","11.281320827707","11.4601384450872","11.2462276073381","11.1801548980057","11.1227360727519","9.89452275974633","9.62010520989085","8.7119538422738","8.33312439339475","7.91547061164225","7.21488784031619","7.08008497290658","8.0364387614936","8.15049199717806","8.13326276011175","8.12792712357475","8.05970177182705","7.7381144643901","7.74251893439453","7.72067099729412",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.52300000190735","1.64199995994568","1.75100004673004","1.75","1.72699999809265","1.81400001049042","1.89600002765656","1.98000001907349","2.13499999046326","2.18600010871887","2.27099990844727","2.46399998664856","2.56699991226196","2.57999992370605","2.5550000667572","2.23200011253357","1.95299994945526","1.86699998378754","2.24000000953674","2.22499990463257","2.01699995994568","1.91199994087219","1.7960000038147","1.57599997520447","1.36800003051758","1.17499995231628","1.57200002670288","1.7059999704361",
"Argentina","ARG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.24200010299683","6.12799978256226","8.43000030517578","10.2600002288818","16.4440002441406","15.6429996490479","12.7980003356934","11.6479997634888","13.2550001144409","14.0260000228882","17.4120006561279","20.125","13.8009996414185","11.8889999389648","10.0450000762939","8.41600036621094","6.99700021743774","6.51700019836426","7.78599977493286","6.67899990081787","6.25799989700317","6.09299993515015","6.13000011444092","6.49300003051758","6.86899995803833","7.20300006866455","7.53499984741211","8.54399967193604",
"Armenia","ARM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09599995613098","1.31200003623962","3.5460000038147","4.96500015258789","3.75200009346008","4.60900020599365","5.42000007629395","5.75099992752075","7.71600008010864","8.24600028991699","8.85700035095215","9.33899974822998","9.51399993896484","10.0450000762939","10.0740003585815","9.94600009918213","9.85099983215332","16.1609992980957","17.7709999084473","17.0900001525879","17.3659992218018","16.5160007476807","14.4180002212524","15.7530002593994","17.3889999389648","17.7310009002686","18.1450004577637","17.55299949646",
"American Samoa","ASM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
