Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barbados,BRB,,,,,,,,,1.01564002,1.006909966,0.995599985,0.995400012,0.994480014,0.992129982,0.993089974,1.000319958,1.009359956,1.01275003,1.011800051,1.011530042,1.017879963,,,1.018839955,1.018710017,1.029819965,1.01078999,
Brunei Darussalam,BRN,0.99861002,1.013779998,1.016520023,1.003859997,,,,0.985029995,0.981249988,0.982010007,0.977310002,0.972869992,0.978540003,0.972530007,0.972259998,0.978699982,0.984260023,0.989790022,0.994830012,1.001039982,0.994449973,1.002169967,1.008669972,0.99842,0.998889983,1.002879977,1.004359961,
Bhutan,BTN,,,,,,,,0.819819987,0.836880028,0.856939971,0.881079972,,,,0.946770012,0.963880002,0.973659992,0.991060019,1.014260054,1.022760034,1.027969956,1.03500998,1.037310004,1.040320039,1.034119964,1.044219971,1.043830037,
Botswana,BWA,1.08750999,1.075219989,1.057989955,1.04192996,1.035339952,,,1.023710012,1.021780014,1.020290017,1.013759971,1.011610031,1.011260033,1.003430009,0.999849975,1.00346005,1.000069976,1.010480046,,,,,,,,,,
Central African Republic,CAF,0.605400026,0.619650006,,,,,,,,,0.658980012,,,,,,,,0.686320007,,0.693769991,0.701430023,,,,0.745689988,,
Canada,CAN,0.994409978,0.992320001,0.990040004,0.990190029,0.993650019,0.993780017,,0.996410012,1.009369969,1.010509968,,,,,0.984250009,0.985819995,0.985880017,0.986240029,0.98785001,0.989390016,0.992070019,1.003419995,1.006080031,1.008229971,1.008069992,1.007869959,,
Central Europe and the Baltics,CEB,1.001309991,1.011240005,1.00383997,1.005779982,1.010570049,1.007850051,1.001899958,1.001350045,0.999859989,0.997370005,0.996190012,0.994189978,0.99119997,1.001449943,0.997460008,0.995710015,0.995299995,0.995400012,0.996290028,0.994229972,0.991609991,0.992500007,0.988470018,0.989629984,0.993210018,0.994180024,0.994319975,
Switzerland,CHE,0.969789982,0.972360015,0.955560029,0.960979998,0.963670015,0.968050003,,0.956239998,0.960870028,0.967199981,0.974720001,0.971759975,0.969940007,0.96469003,0.966929972,0.967299998,0.969739974,0.972180009,0.975189984,0.981519997,0.983770013,0.983169973,0.985310018,,0.979340017,0.976130009,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,0.996519983,0.999909997,1.008890033,,,,,0.999050021,0.99879998,0.995029986,,0.994239986,0.992190003,0.981599987,0.98229003,0.986370027,0.986790001,0.986010015,0.989090025,1.000949979,1.000010014,1.002640009,0.992139995,0.992030025,0.991100013,0.992060006,0.99168998,
China,CHN,0.86036998,0.874170005,0.881269991,0.901970029,0.915700018,0.928740025,0.936039984,,,,0.965690017,,0.966019988,,,0.989329994,0.992699981,0.998109996,1.004600048,0.990350008,0.994029999,0.99883002,1.007809997,1.011240005,1.013380051,1.011940002,1.01504004,
Cote d'Ivoire,CIV,,,,,,,,,0.692879975,,,,,,,,,,,,,,,0.816569984,0.825030029,0.838060021,0.852980018,
Cameroon,CMR,0.827839971,0.870790005,,,0.846989989,,0.854680002,0.806909978,0.827400029,,0.85522002,0.802429974,0.850300014,0.843379974,0.828779995,0.83039999,0.84029001,0.844889998,0.858539999,,0.863550007,0.871200025,,0.878560007,0.884859979,0.886900008,,
"Congo, Dem. Rep.",COD,,0.698469996,0.706579983,0.672919989,0.67019999,,,,,,,,,,,,0.739859998,0.76394999,0.77433002,0.787810028,0.788980007,0.801110029,0.827769995,0.828859985,0.889490008,,,
"Congo, Rep.",COG,,0.887700021,,,,0.878899992,,,,,,0.885299981,0.859860003,0.909669995,,,,,,,,1.001809955,,,,,,
Colombia,COL,1.075790048,1.10473001,1.072199941,,1.053050041,1.017349958,,1.028210044,1.043480039,1.037940025,,1.036720037,,1.038579941,1.034819961,1.042539954,1.046309948,1.043660045,1.046350002,1.038429976,1.026939988,1.026749969,1.026980042,1.022770047,1.019449949,1.017560005,1.011489987,
Comoros,COM,,,,,,,,,0.844799995,,,0.828880012,0.826889992,0.848070025,,,,,,,,,0.975329995,0.979799986,,,0.993149996,
Cabo Verde,CPV,,,,0.979170024,,,,,,,1.008870006,1.003260016,1.012429953,1.016409993,1.023409963,1.049790025,1.054299951,1.018759966,1.041429996,1.043799996,1.036370039,1.036579967,1.025889993,1.015859962,1.010740042,1.007329941,1.005929947,
Costa Rica,CRI,1.000540018,1.001219988,1.006680012,1.007449985,1.009860039,1.014000058,1.013000011,1.009269953,1.005900025,1.000550032,1.008440018,0.999270022,,1.000970006,1.000620008,1.005169988,1.002359986,1.006739974,1.008069992,1.007339954,1.008370042,1.009979963,1.021270037,1.022029996,1.016729951,1.029330015,,
Caribbean small states,CSS,1.020329952,1.014479995,1.009690046,1.012470007,1.012509942,1.017099977,1.017930031,1.012300014,1.011510015,1.011389971,1.00959003,1.021070004,1.019009948,1.01770997,1.021000028,1.023200035,1.023579955,1.022109985,1.01335001,1.026759982,1.030439973,1.032349944,1.024639964,1.028540015,1.041599989,1.023790002,1.025339961,
Cuba,CUB,1.061200023,1.070629954,1.054460049,1.040779948,1.041000009,0.994229972,1.016049981,,0.995019972,0.988569975,0.993489981,0.972010016,0.971310019,0.989260018,0.993820012,0.999570012,0.993449986,0.994140029,0.995760024,0.994650006,0.995980024,1.003600001,0.998690009,0.989099979,0.991240025,0.996659994,0.989499986,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,1.002339959,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,1.011819959,1.013030052,1.00917995,1.005810022,1.003640056,1.007300019,1.011710048,,1.012959957,1.011980057,1.005839944,1.011540055,1.010329962,1.011489987,1.009080052,1.007419944,1.006119967,1.000650048,1.001860023,1.006170034,1.004349947,1.008550048,1.003299952,1.004459977,0.996190012,,,
Czech Republic,CZE,0.981519997,1.07980001,1.050359964,1.009639978,1.021100044,1.021589994,1.021520019,1.028360009,1.023229957,1.010720015,1.017279983,1.014310002,1.012590051,1.005470037,1.00722003,1.00880003,1.007050037,1.00632,1.00643003,1.002320051,0.999249995,1.000910044,1.004729986,1.002990007,1.007159948,1.007179976,,
Germany,DEU,,0.983640015,0.970160007,0.973580003,0.974370003,0.976040006,0.978590012,0.978079975,0.980910003,0.984529972,0.985379994,0.98427999,0.982219994,0.98259002,0.982509971,0.980180025,0.982190013,0.980180025,0.962480009,0.963479996,0.962350011,0.963360012,0.965879977,0.965749979,0.965129972,0.960829973,,
Djibouti,DJI,,0.714789987,0.776970029,0.766889989,0.755720019,0.747039974,0.738160014,,0.717819989,0.713980019,0.711279988,0.720200002,,0.758740008,0.762600005,0.764829993,0.801119983,0.806540012,0.823870003,,0.858879983,0.837379992,0.826269984,0.841210008,0.845109999,0.852909982,0.862609982,0.858759999
Dominica,DMA,,,,,,,,,1.127830029,1.056660056,1.042590022,1.049020052,1.056789994,1.036919951,1.035079956,1.024369955,1.019899964,1.003149986,1.03591001,1.029719949,1.026360035,,,0.991590023,0.982050002,,,
Denmark,DNK,1.008479953,1.009220004,1.013810039,1.014960051,1.017310023,1.013299942,,1.023390055,1.029099941,1.023859978,1.027119994,1.026569963,,1.024430037,1.018859982,1.018069983,1.017050028,1.018129945,1.012400031,1.005759954,1.005579948,1.002429962,1.009050012,1.016829967,1.018409967,1.009670019,,
Dominican Republic,DOM,,,,,,,,1.043779969,1.047600031,1.040570021,,1.070870042,,1.025969982,1.036069989,,1.034819961,1.028370023,0.964269996,0.972350001,0.989489973,0.986469984,0.988099992,0.985199988,0.98536998,0.990230024,0.99357003,
Algeria,DZA,0.829490006,0.842630029,0.85443002,0.870299995,0.883539975,0.895169973,0.91832,,0.948809981,0.964049995,0.97378999,0.979789972,0.990159988,0.995410025,0.998780012,1.000740051,1.000749946,0.985620022,0.978399992,0.992929995,0.994189978,,,,,,,
East Asia & Pacific (excluding high income),EAP,0.892809987,0.903840005,0.906239986,0.922070026,0.929270029,0.936810017,0.943080008,0.949859977,0.959190011,0.96438998,0.968439996,0.968129992,0.970279992,0.978209972,0.983020008,0.987609982,0.989560008,0.993820012,0.997619987,0.994620025,0.997569978,0.99901998,0.99962002,1.002740026,1.001449943,1.004320025,1.00395,
Early-demographic dividend,EAR,0.80114001,0.80844003,0.818359971,0.826380014,0.82968998,0.833519995,0.845579982,0.854780018,0.866729975,0.872380018,0.880069971,0.890460014,0.927030027,0.929250002,0.936389983,0.943050027,0.95134002,0.964460015,0.976119995,0.98119998,0.986410022,0.988690019,1.014870048,1.015969992,1.016860008,1.029520035,1.030380011,
East Asia & Pacific,EAS,0.904940009,0.914650023,0.916800022,0.930620015,0.937170029,0.943859994,0.949280024,0.955200016,0.96351999,0.968190014,0.971880019,0.971490026,0.973320007,0.98040998,0.984790027,0.988860011,0.990490019,0.994340003,0.997739971,0.994889975,0.997529984,0.99879998,0.999260008,1.00206995,1.000800014,1.00346005,1.00304997,
Europe & Central Asia (excluding high income),ECA,0.969860017,0.971080005,0.970950007,0.972419977,0.970830023,0.971239984,0.97220999,0.967499971,0.963959992,0.965789974,0.960910022,0.959479988,0.95638001,0.959980011,0.962400019,0.966929972,0.968649983,0.972790003,0.978910029,0.978070021,0.977710009,0.982559979,0.98585999,0.987349987,0.987990022,0.988839984,0.989950001,
Europe & Central Asia,ECS,0.989709973,0.991580009,0.989400029,0.987280011,0.986530006,0.987469971,0.987190008,0.98514998,0.983699977,0.98417002,0.982349992,0.980639994,0.979780018,0.98202002,0.982439995,0.984200001,0.985080004,0.986639977,0.987810016,0.986750007,0.986379981,0.988319993,0.994080007,0.994579971,0.994300008,0.999289989,0.999499977,
Ecuador,ECU,,,0.995959997,,,1.007640004,,1.00988996,1.007200003,1.001510024,1.00612998,1.000890017,1.003939986,0.998340011,1.000509977,1.001449943,1.002110004,,1.022539973,1.017379999,1.019279957,1.024270058,1.020630002,1.019850016,1.020169973,1.01899004,,
"Egypt, Arab Rep.",EGY,0.82348001,0.855579972,0.862820029,0.851010025,0.885749996,0.811240017,0.876829982,,0.923120022,0.932860017,0.941929996,,0.950540006,0.95747,,,,,0.975910008,0.971140027,0.968930006,0.985199988,0.985499978,0.995620012,,0.992739975,0.993579984,
Euro area,EMU,1.007210016,1.008730054,1.008329988,1.001189947,0.999859989,1.001829982,1.000159979,0.99879998,0.999490023,0.998600006,1.000360012,0.997739971,0.998390019,0.999639988,0.998650014,0.997189999,0.997979999,0.997380018,0.993170023,0.992150009,0.991209984,0.990989983,0.994099975,0.994229972,0.993340015,0.99346,0.992860019,
Eritrea,ERI,,,0.823679984,0.789099991,0.787069976,0.797190011,0.798179984,,0.789099991,0.784690022,0.788969994,0.752579987,0.756169975,0.715390027,0.725600004,0.728519976,0.786629975,0.781369984,0.782700002,0.809620023,0.814090014,0.818570018,0.936150014,0.836310029,0.855799973,,0.874199986,
Spain,ESP,1.038720012,1.045420051,1.048239946,1.049640059,1.050889969,1.055040002,1.031309962,1.035750031,1.034950018,1.034080029,1.031479955,1.034450054,1.028499961,1.031900048,1.02955997,1.028139949,1.030329943,1.027950048,1.021289945,1.009879947,1.003370047,1.001870036,1.007750034,1.007619977,1.004359961,1.009039998,,
Estonia,EST,,1.02500999,1.022250056,1.050490022,1.044139981,1.036990047,,1.016600013,1.018630028,1.023290038,1.017940044,1.017740011,1.023499966,1.017099977,1.010280013,1.014490008,1.014600039,1.013030052,1.005290031,0.993799984,0.991479993,0.99267,0.99308002,0.99526,0.998870015,1.004570007,,
Ethiopia,ETH,0.695010006,0.759429991,0.745100021,0.675339997,0.636049986,0.605130017,,,0.622959971,0.657289982,0.687609971,0.697950006,0.700119972,0.735249996,0.782710016,0.814029992,0.836030006,0.862370014,0.891789973,0.900810003,0.911610007,0.921940029,,,0.920340002,,,
European Union,EUU,1.007789969,1.010710001,1.006800056,1.002500057,1.002850056,1.004099965,1.002249956,1.002840042,1.003299952,1.002329946,1.003250003,1.001340032,1.002349973,1.002889991,1.001019955,0.999949992,0.999530017,0.998480022,0.995490015,0.993749976,0.993200004,0.992760003,1.000339985,1.000399947,0.999559999,1.007879972,1.007419944,
Fragile and conflict affected situations,FCS,0.771690011,0.774689972,0.772629976,0.76564002,0.764680028,0.763580024,0.761699975,0.76226002,0.773699999,0.777809978,0.774850011,0.779079974,0.791260004,0.776690006,0.801599979,0.806900024,0.81171,0.819700003,0.825990021,0.834490001,0.840979993,0.846780002,0.851970017,0.853250027,0.868990004,0.87421,0.874490023,
Finland,FIN,1.094009995,1.106099963,1.091689944,1.086130023,1.077929974,1.092210054,1.073989987,1.051959991,1.047700047,1.048419952,1.054469943,1.056599975,1.052710056,1.020230055,1.020059943,1.020630002,1.022279978,1.022429943,1.023620009,1.022510052,1.021090031,1.021819949,1.054170012,1.056519985,1.05697,1.057549953,,
Fiji,FJI,0.983810008,0.998220026,,,,,,1.026000023,1.043069959,1.03113997,1.027830005,1.038499951,1.030699968,1.022830009,,1.03918004,1.044360042,1.031180024,1.036929965,,1.040089965,1.055830002,,,,,,
France,FRA,1.02452004,1.021639943,1.017529964,0.990249991,0.986980021,0.989250004,0.992070019,0.993529975,0.995440006,0.996110022,0.997730017,0.999239981,1.002419949,1.001489997,0.998440027,0.995469987,0.997829974,0.997569978,0.998329997,1.00079,1.003250003,1.00304997,1.005679965,1.007339954,1.003569961,1.002249956,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,1.018959999,1.02244997,,,,,,,,,,,,,
Gabon,GAB,,,,0.976899981,0.959510028,0.975229979,0.967190027,,0.970350027,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,1.021989942,1.018409967,,,,,,1.002580047,1.003900051,1.005589962,1.005089998,1.008340001,1.019490004,1.015980005,1.016080022,1.018679976,1.012910008,1.007609963,1.004989982,0.999660015,1.003509998,1.000349998,1.025179982,1.022369981,1.017680049,1.067409992,,
Georgia,GEO,0.983690023,0.970359981,0.964569986,0.943279982,0.949039996,0.993019998,0.985119998,,0.996779978,0.99624002,1.011489987,1.002599955,0.98755002,0.980130017,0.976289988,1.010480046,,0.970879972,,,,,0.999989986,1.009209991,1.014979959,1.01244998,1.01256001,
Ghana,GHA,,,,,0.839940012,,,,0.885959983,0.896990001,0.910210013,0.911390007,0.913129985,0.902440012,0.915139973,0.934199989,0.943340003,0.946619987,0.944729984,,0.95717001,0.96092999,0.965260029,0.977379978,0.982029974,0.997489989,0.998920023,1.004420042
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,0.429149985,,0.434289992,0.451200008,,0.487760007,,,0.561890006,,0.624880016,0.647700012,0.677169979,0.688499987,0.712000012,0.730939984,,0.756990016,,,0.781750023,,,0.787739992,,,,
"Gambia, The",GMB,,0.652660012,0.665359974,0.681829989,0.691340029,0.73536998,,,,,,,,,,,,1.01323998,1.011049986,0.998510003,,,,,,,,
Guinea-Bissau,GNB,,,,,,,,,,0.648909986,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,,,0.816990018,0.866980016,,,,,,0.727280021,,0.864329994,,,0.905059993,,,,,,,,,,,,,
Greece,GRC,0.987559974,0.99296999,1.008859992,0.980970025,1.016459942,1.016149998,1.022050023,1.022930026,1.021569967,1.029989958,1.02252996,1.00248003,0.994140029,0.979600012,0.965759993,0.961969972,0.951550007,,,0.958819985,0.969550014,0.969500005,0.971220016,0.965430021,0.961749971,0.967739999,,
Grenada,GRD,,,1.04313004,,,,,,,,,1.032680035,0.986620009,1.013080001,0.993160009,,0.979149997,0.930320024,0.967809975,0.994809985,,,0.968659997,0.987640023,0.977069974,0.994459987,0.988960028,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,0.867600024,,,0.865629971,,0.875100017,0.86638999,0.897010028,0.904659986,0.911300004,,0.923690021,0.930589974,0.938380003,0.946500003,0.954240024,0.964259982,0.966210008,0.966939986,0.964299977,0.960070014,0.96201998,0.958909988,0.95976001,0.962610006,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,,,,,,,,,0.984849989,,0.993860006,,,,1.013739944,,0.987940013,1.015599966,1.008579969,1.027830005,1.028460026,1.032420039,,,,,,
High income,HIC,0.999440014,0.999549985,0.997759998,0.995899975,0.999530017,0.99883002,1.003329992,1.00830996,1.007889986,1.000669956,1.00383997,1.001049995,1.001729965,1.003409982,1.002020001,1.000929952,1.000830054,0.999499977,1.000239968,0.996320009,0.996680021,0.994390011,0.996890008,0.997160017,0.997290015,0.997150004,0.997539997,
"Hong Kong SAR, China",HKG,,,,,,1.024610043,,,,,,,,,,,,,,,,0.990419984,0.977800012,0.974259973,0.973779976,0.972500026,0.968509972,
Honduras,HND,1.043009996,,,,,,,,,,,,,,,1.062090039,1.07280004,1.074859977,,1.069880009,1.065850019,1.064630032,1.060359955,1.043380022,1.05783999,1.050490022,1.047000051,
Heavily indebted poor countries (HIPC),HPC,0.774479985,0.778069973,0.779320002,0.776449978,0.772409976,0.768159986,0.773800015,0.774810016,0.791390002,0.799300015,0.803390026,0.805459976,0.815550029,0.811020017,0.832019985,0.842700005,0.848770022,0.858120024,0.868629992,0.877399981,0.886370003,0.892620027,0.899590015,0.902149975,0.911740005,0.915799975,0.918219984,
Croatia,HRV,,,1.03076005,1.024940014,1.024539948,1.022420049,1.01564002,1.011219978,1.010310054,1.010830045,1.009199977,1.009340048,1.008780003,,1.022609949,1.022850037,1.024700046,1.026319981,1.027089953,1.049909949,1.027619958,1.02737999,1.024940014,1.024690032,1.033849955,1.034080029,,
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,1.002089977,1.00169003,,1.018380046,1.019999981,1.018390059,1.015190005,1.009160042,1.003370047,0.99891001,0.99883002,0.998820007,0.995710015,0.988370001,0.98664999,0.987909973,0.990779996,0.986079991,0.990040004,0.988919973,0.986010015,0.986220002,1.001459956,1.001739979,1.002799988,0.993430018,,
IBRD only,IBD,0.868369997,0.875339985,0.881470025,0.890699983,0.896120012,0.900139987,0.907779992,0.915750027,0.923099995,0.926249981,0.930029988,0.93520999,0.958500028,0.962769985,0.96566999,0.969720006,0.974919975,0.98348999,0.992879987,0.989989996,0.992330015,0.995660007,1.018890023,1.021450043,1.020249963,1.031010032,1.030060053,
IDA & IBRD total,IBT,0.848659992,0.855319977,0.860909998,0.869260013,0.874450028,0.879069984,0.88628,0.893339992,0.901109993,0.904799998,0.908580005,0.912039995,0.932089984,0.933640003,0.93937999,0.944090009,0.949199975,0.957379997,0.965449989,0.965070009,0.968079984,0.972559988,0.989099979,0.991630018,0.992389977,0.999310017,0.999650002,
IDA total,IDA,0.766669989,0.773899972,0.778490007,0.784560025,0.789690018,0.797010005,0.805079997,0.810609996,0.822109997,0.830609977,0.837310016,0.838050008,0.850419998,0.84574002,0.864000022,0.873749971,0.881200016,0.890990019,0.898490012,0.906930029,0.913609982,0.922599971,0.924059987,0.928049982,0.934650004,0.933809996,0.937870026,
IDA blend,IDB,0.765429974,0.772650003,0.775110006,0.782519996,0.789910018,0.801620007,0.80647999,0.806429982,0.808650017,0.813660026,0.821099997,0.812189996,0.833779991,0.834410012,0.84890002,0.859009981,0.867690027,0.877040029,0.889379978,0.890129983,0.894529998,0.913609982,0.913259983,0.91663003,0.915679991,0.90763998,0.910619974,
Indonesia,IDN,0.938709974,0.945840001,0.928080022,0.934549987,0.931940019,0.93167001,,,0.96487999,0.970300019,0.978330016,0.980679989,0.982670009,0.986630023,0.97536999,0.983060002,0.981760025,0.988950014,0.988460004,1.027160048,1.02839005,1.013630033,0.989000022,0.985499978,0.987049997,0.995249987,0.990379989,
IDA only,IDX,0.768410027,0.775730014,0.781639993,0.786710024,0.79023999,0.794889987,0.804660022,0.813220024,0.829900026,0.840300024,0.846329987,0.85145998,0.858919978,0.851629972,0.871720016,0.881009996,0.887610018,0.897109985,0.902400017,0.914510012,0.922349989,0.92663002,0.929229975,0.933189988,0.943289995,0.945860028,0.950339973,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,,,0.730729997,0.742370009,0.74247998,0.749750018,0.762000024,,0.782090008,0.787329972,0.795109987,0.815720022,0.900129974,,,,0.929709971,0.954890013,0.978579998,0.978699982,0.989109993,0.995069981,1.065009952,1.063770056,1.066089988,1.092859983,,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,1.046560049,1.042369962,1.020210028,1.023839951,1.030140042,1.038650036,1.042750001,1.023499966,1.023090005,1.027959943,1.03173995,1.035809994,1.030820012,1.027340055,1.033529997,1.027320027,1.020990014,1.022869945,1.025949955,1.023630023,1.013970017,1.010529995,,1.007410049,1.008460045,1.006909966,,
"Iran, Islamic Rep.",IRN,0.84206003,0.85165,0.864669979,0.874769986,0.886969984,,0.914929986,,0.930909991,0.939620018,0.944010019,0.947650015,0.947629988,0.962289989,0.96776998,0.972000003,1.000259995,0.986020029,0.983810008,0.98615998,0.985620022,0.983290017,1.008520007,1.026890039,1.034980059,1.045060039,1.029549956,
Iraq,IRQ,,,0.787880003,,,0.79053998,,,0.779699981,0.772249997,,,0.811879992,0.790530026,,,0.814090014,,,,,,,,,,,
